Goal,Subgoal,Data Layer,Name,File,Brief Description,Metadata,Start Year,End Year,Reference,url,bib,bib2
BD,HAB,soft bottom condition,hab_health_whi,hab_health_whi2018.csv,The percent of soft bottom habitat not impacted by dredging.,"Nearshore soft bottom habitat extent was mapped to a depth of 30 meters (Lecky, 2016). The condition was measured as the proportion of soft bottom habitat that was not dredged. Dredging was defined as activity involving physically removing substrate with machinery typically to allow for safe passage of vessels (Lecky, 2016). Dredging layer is available on the Hawai‘i Office of Planning Hawai‘i Statewide GIS Program geospatial database (http://geoportal.hawaii.gov/).",,,Lecky 2016 Ecosystem vulnerability and mapping cumulative impacts on Hawaiian reefs,,Lecky2016,
BD,HAB,soft bottom extent,hab_extent_whi,hab_extent_whi2018.csv,Soft bottom habitat extent was derived from the cumulative impact habitat maps.,"Soft bottom habitat extent was derived from the cumulative impact habitat maps, with nearshore soft bottom habitat extent mapped to a depth of 30 meters (Lecky, 2016).",,,Lecky 2016 Ecosystem vulnerability and mapping cumulative impacts on Hawaiian reefs,,Lecky2016,
FP,FIS,sustainability of bottomfish fishery,fis_sus,fis_sus_updated_whi2018.csv,Bottom fish stock assessment. ,"Bottom fish stock assessment. The bottomfish species sustainability reference point was B/BMSY, with a reference value of 1.0. Bottomfish stocks were assessed as a species complex (Langseth et al., 2018).",,2018,NOAA,https://repository.library.noaa.gov/view/noaa/17252,Langseth2018,
FP,FIS,sustainability of pelagic fishery,fis_sus,fis_sus_updated_whi2018.csv,Pelagic (tuna and swordfish) stock assessments.,"Pelagic fish stock assessment. The pelagic fish sustainability reference point was SB/SBmsy, with a reference value of 1.0. The most recent stock assessments for pelagic fish species were variable but ranged from 2012 to 2017 (WCPFC; ISC, 2017). If stock status was not assessed up to 2016, the ten most recent years of stock assessment data was used to run a linear regression model to predict stock status to 2016. If stock status was non-linear then the mean stock status was used. Stock assessments available: https://github.com/OHI-Science/whi/tree/master/prep_whi/FIS/Stock%20Assessment%20Reports. ",2014,2017,"International Scientific Committee for Tuna and Tuna-like Species in the North Pacific Ocean (ISC), WCPFC",http://isc.fra.go.jp/recommendation/index.html,WCPFC,ISC
FP,FIS,sustainability of reef fishery,fis_sus,fis_sus_updated_whi2018.csv,Reef fish stock assessment.,"Reef fish stock assessment status (Nadon, 2017). Stock status scores are listed by year but are the representative values from the Nadon 2017 reef fish stock assessment report. Scientific species names and full data available: https://github.com/OHI-Science/whi/blob/master/prep_whi/FIS/fis_reef_stock_sustainability.xlsx. ",,2017,NOAA,https://repository.library.noaa.gov/view/noaa/13291,Nadon,
TR,,visitor arrivals,t_visitor_arrivals,t_visitor_arrivals_whi2018.csv,"The total visitor arrivals to Kona, Hawaii.","The total visitor arrivals to Kona, Hawaii from 2012-2016. Data comes from DBEDT state databooks section 7 “recreation and travel.” Databooks available at: http://dbedt.hawaii.gov/economic/databook/db2016/. ",2012,2016,DBEDT,http://dbedt.hawaii.gov/economic/databook/db2016/,DBEDT,
TR,,visitor contributed GDP,t_growth,t_growth_whi2018.csv,Visitor generated GDP standardized to real dollars. ,Data comes from DBEDT databook section 7 “tourism and recreation”. Visitor generated total expenditures was estimated to Hawaii county by weighting expenditures by the average daily number of visitors to each county (visitors defined as overnight stays (DBEDT 2016). Visitor expenditures were adjusted by inflation by the implicit price deflator (DBEDT 2016). Data range is from 2010-2016.,2011,2016,DBEDT,http://dbedt.hawaii.gov/economic/databook/db2016/,DBEDT,
RESILIENCE,,watershed partnerships,watershed_partnerships,hab_watershed_partnerships_whi2018.csv,The ratio of watershed partnerships to historic native forest extent for the island of Hawaii.,"The ratio of watershed partnerships to historic native forest extent (res_score) for the island of Hawaii. Watershed Partnerships spatial data layer (source: DLNR:DOFAW) available: http://geoportal.hawaii.gov/datasets/watershed-partnerships) was used to calculate the area (km2) of watershed partnerships for Hawaii Island (layers_whi/hab_watershed_partnerships.csv). The TNC “GRIM” dataset (prep_WHI/CS_CP_HAB/watershed_partnerships_percent_of_watershed.csv) was used to estimate historical native forest extent for Hawaii Island (10,458.9 km2). ",,,Habitat Partnerships,http://hawp.org/about-us/accomplishments/ and http://geoportal.hawaii.gov/datasets/watershed-partnerships,OfficeofPlanning,
RESILIENCE,,watersheds protected,hd_watersheds,hd_watersheds_whi2018.csv,The percent of priority watersheds that are fenced to protect against invasive animals on Hawaii Island.,The percent of priority watersheds that are fenced to protect against invasive animals on Hawaii Island. Data from Emma Yuen DLNR/DOFAW.,,,DLNR,,Yuen2017,
FP,MAR,mariculture risk,mar_risk,mar_risk_wh2018.csv,Developed scale for the Hawaii Ocean Health Index on the combined sustainability/risk score for mariculture species in Hawaii.,"Developed scale for the Hawaii Ocean Health Index on the combined sustainability/risk score for mariculture species in Hawaii. The species that are reported on the State Department of Land and Natural Resources Division of Aquatic Resources that are produced locally for seafood consumption include: Abalone (Haliotus sp), oysters (Crassostrea gigas and Crassostrea sikamea), clams (Venerupis philippinarum), kahala (Seriola dumerili), Pacific White Shrimp (Penaeus vannamei), and limu (Gracilaria sp.). Moi (Pacific Threadfin) is not on the State of Hawaiʻi Department of Agriculture list but it is produced locally for out planting in fishponds. The sustainability of the species produced was assessed as the average of the feed sustainability score (0 protein based, 1 plant based; 0 imported feed, 1 local feed) and the biosecurity risk scored as species status (1 native, 0.75 introduced, or 0 invasive) and the pathogen and virus susceptibility (0 highly susceptible, 0.5 susceptible but preventative measures in place (biosecurity practices such as sterilization and wastewater treatment practices).",,,Hawaii OHI,http://ohi-science.org/mhi/,,
RESILIENCE,,historical sites,res_historical_sites,res_historic_sites_whi2018.csv,The number of preserved historic sites on Hawaii Island from the Hawaii State Historic Preservation Plan October 2012 to October 2017.,,,, Hawaii State Historic Preservation Plan October 2012 to October 2017,https://health.hawaii.gov/cwb/files/2013/05/Draft-2016-State-of-Hawaii-Water-Quality-Monitoring-and-Assessment-Report.pdf,,
